#,Team,Name,Big chances created,Total passes,Assists,Accurate final third passes,Accurate passes %,Accurate long balls %
416,,Cristhian Mosquera,0,15.33,0,0.67,84.78,0
417,,Carlos Martín,0,2.25,0,0,66.67,0
418,,Fede San Emeterio,0.03,19.64,0.03,2.7,79.78,55.93
419,,Víctor Chust,0,31.07,0,2.21,83.45,59.79
420,,Oier Zarraga,0.08,13.31,0,4.04,82.08,63.64
421,,Keidi Bare,0,14.5,0.06,2.94,84.29,56
422,,Helibelton Palacios,0.08,28.04,0,3.46,77.12,26.97
423,,Thomas Delaney,0,19.75,0,2,87.34,50
424,,Valery Fernández,0.08,12.24,0.08,3.8,86.6,88.89
425,,Bryan Gil,0.06,18.18,0.12,6.47,82.2,0
426,,Dimitri Foulquier,0.07,21.63,0.07,4.6,73.19,35.29
427,,Brian Ocampo,0.17,18.11,0.06,5.22,78.22,75
428,,Asier Villalibre,0,3.6,0,1.6,61.11,0
429,,Brian Cufré,0,13.4,0,3,83.58,50
430,,Reinier,0.11,13.56,0.06,3.94,80.74,0
431,,José Mari,0.06,11.17,0,2.61,83.58,69.23
432,,Tanguy Nianzou,0,40.42,0,4.11,88.02,46.43
433,,Pablo Torre,0.13,11,0,4.38,85.23,50
434,,Gonzalo Villar,0.06,15.5,0,3.31,79.84,53.85
435,,Largie Ramazani,0.06,7.85,0.03,2.45,71.04,63.16
436,,Mamadou Mbaye,0.07,20.79,0,1.07,75.26,36.36
437,,Portu,0.03,15.38,0.09,3.97,71.7,31.71
438,,Carlos Fernández,0.04,6.13,0,1.67,65.99,0
439,,Hugo Duro,0.1,9.07,0.03,2.6,73.9,57.14
440,,Óscar Trejo,0.15,28.24,0.12,10.29,83.02,50
441,,Juanpe,0.05,45.89,0,2.58,86.12,47.62
442,,Mariano Díaz,0.11,4.44,0,1.22,80,100
443,,Oscar Ureña,0,6,0,2.67,83.33,0
444,,Lago Júnior,0,3.2,0,1.4,75,50
445,,Francisco Mwepu,0,4,0,0,100,0
446,,Alberto Perea,0,11,0,3,90.91,0
447,,Roberto Torres,0,5.5,0,3,100,100
448,,Diego Collado,0,2.5,0,1.5,80,0
449,,Josep Gayá,0,3.5,0,0,85.71,0
450,,Ander Martín,0,6.67,0,3,60,0
451,,Anthony Lozano,0,10.14,0.04,2.57,68.66,22.22
452,,Juanmi,0.09,10.91,0,1.95,84.58,63.64
453,,Nacho Vidal,0.05,22.8,0,5.2,75.88,37.93
454,,Sergio Akieme,0.1,26.86,0,3.93,80.62,39.13
455,,Luca De La Torre,0.07,20.82,0.07,6.71,86.62,47.83
456,,Samu Sáiz,0,18.75,0,5.5,79.33,70
457,,Jon Morcillo,0,3.7,0.1,1.3,81.08,0
458,,Adrià Pedrosa,0.29,8.71,0,2,83.61,25
459,,Jon Karrikaburu,0.17,2.83,0,0.83,64.71,0
460,,Martín Montoya,0,32.5,0,5,81.03,15.79
461,,Alberto Mari,0,4,0,0.4,40,0
462,,Pablo Ibáñez Lumbreras,0.08,15.12,0.04,2.92,74.07,51.28
463,,Ricard Artero,0,6.71,0,1.57,78.72,50
464,,Sergio Asenjo,0,30.6,0,1.2,61.44,37.36
465,,Juan Carlos,0,28.9,0,0.3,82.35,46.59
466,,Gonzalo Montiel,0.14,24.21,0.11,6.11,80.83,37.5
467,,Randy Nteka,0.04,9.67,0,2.54,71.55,45.45
468,,Denis Suárez,0.11,22.78,0,5.89,77.07,33.33
469,,Nicolás Melamed,0.13,12.59,0.06,4.53,84.12,47.62
470,,Óscar Gil,0.09,21.67,0.03,3.55,77.76,37.08
471,,Jaime Seoane,0.06,6.81,0,1.56,79.82,70
472,,Aleix Vidal,0.2,12.24,0.12,3.28,78.1,67.74
473,,Yunus Musah,0.09,21.82,0.06,6.36,81.81,59.18
474,,Bebé,0,4.75,0,1.25,84.21,100
475,,Antonio Blanco,0,20.33,0,4.67,93.44,100
476,,Ezequiel Ponce,0,8.47,0,2.12,75.35,61.54
477,,Nicolás Fernández,0.06,10.22,0.06,3.44,78.26,47.06
478,,Arnau Puigmal,0,10.45,0,2.68,72.61,15.38
479,,Chumi,0,34.33,0,2.71,82.39,38.82
480,,Rodrigo Battaglia,0,15.27,0,2.47,80.79,46.67
481,,Carles Aleñá,0.06,21.66,0.06,5.31,78.63,58.82
482,,Andrés Martín,0.11,6.78,0,1.22,57.38,33.33
483,,Sergio Arribas,0,5,0,2.5,90,0
484,,Loren Morón,0,2,0,1,75,0
485,,Beñat Turrientes,0,7.17,0,1.33,90.7,66.67
486,,Ángel Rodríguez,0,4.65,0,1.24,73.42,66.67
487,,Roger Martí,0.04,10.69,0.04,2.5,74.46,54.55
488,,Abdón Prats,0.12,3.5,0.04,0.92,63.74,83.33
489,,Ángel Algobia,0.04,19.54,0,2.77,81.69,52.54
490,,Robert Navarro,0.12,7.12,0,2.59,77.69,100
491,,Salvi Sánchez,0.04,6.33,0,2.04,65.79,36.36
492,,Josep Chavarría,0.06,9.06,0.13,3.06,73.79,33.33
493,,Iván Alejo,0.06,8.68,0.03,1.87,66.91,27.78
494,,Manu Trigueros,0.04,22.91,0.04,7.74,89.56,65.22
495,,Juan Cruz,0,5.5,0,2,75.76,0
496,,Pol Lirola,0.25,19.5,0,3.42,78.63,52.38
497,,Eden Hazard,0,17.83,0.17,8.33,88.79,100
498,,Ander Capa,0,9.14,0,2.71,84.38,50
499,,Diego Moreno,0.09,20.82,0,3,70.31,36.67
500,,Jesús Vázquez,0,12.7,0,4.6,85.83,40
501,,Aritz Elustondo,0.08,27.4,0.04,2.92,82.63,46.38
502,,Toni Villa,0.08,12.5,0.12,5.12,81.23,45.45
503,,Joel Roca Casals,0,6.8,0,1.2,73.53,0
504,,Omar El Hilali,0,5.2,0,0.2,57.69,16.67
505,,Shon Weissman,0,5.93,0,1.07,77.53,0
506,,Abdul Mumin,0,23.88,0,1.44,77.23,32.89
507,,Radamel Falcao,0,6.15,0,1.93,74.7,57.14
508,,Lautaro Blanco,0.18,14.59,0.12,3.06,64.11,34.88
509,,Augusto Solari,0,9.92,0.08,2,78.15,20
510,,Jesús Vallejo,0,12,0,1,100,100
511,,Mamady Diarra,0,4.5,0,0.5,88.89,0
512,,Roger Martínez,0,5,0,5,100,0
513,,Casemiro,0,8,0,1,87.5,50
514,,Nabil Touaizi,0,1,0,1,100,0
515,,Carlos Álvarez,0,4,0,1,100,0
516,,Iván Romero,0,3,0,1,33.33,0
517,,Diego Mariño,0,7,0,0,85.71,66.67
518,,Babatunde Akinsola,0,2,0,0,100,0
519,,Javi Llabrés,0,4,0,1,100,0
520,,Alberto del Moral,0,1,0,0,0,0
521,,Roberto Arroyo,0,4,0,0,0,0
522,,Fran Delgado,0,6,0,1,100,0
523,,Matt Doherty,0,4,0,0.5,62.5,0
524,,Pablo Durán,0,5,0,0.75,70,0
525,,Raúl Parra,0,13.33,0,1.67,62.5,40
526,,Kevin Vázquez,0,19.1,0,3.7,74.35,31.58
527,,Joseba Zaldúa,0.1,21.4,0.1,4.4,70.09,31.43
528,,Raúl Guti,0,14.18,0,2.82,81.86,47.37
529,,Diego González,0,23,0,1.38,79.62,38.16
530,,Tomás Alarcón,0,22.25,0,4.75,84.27,68.42
531,,Pol Lozano,0,1.75,0,0.25,71.43,50
532,,Amath Ndiaye,0.07,9.79,0,2.89,74.09,53.85
533,,Dani Gómez,0,1.75,0,0.88,85.71,0
534,,José Pozo,0,5.13,0,1.88,82.93,0
535,,Unai Vencedor,0,12.1,0,2.8,88.43,82.35
536,,Fernando Niño,0,1.67,0,1.33,100,0
537,,Mikel Balenziaga,0,18,0,3.67,74.07,22.22
538,,David Torres,0,32,0,1.86,79.91,26.92
539,,Kenedy,0.08,6.5,0.08,2.08,67.95,0
540,,Antonio Sánchez,0.09,12.16,0,2.47,72.49,33.33
541,,Juan Narváez,0,6.8,0,2.4,73.53,0
542,,Youba Diarra,0.2,9.8,0,0.8,81.63,42.86
543,,Maximiliano Gómez,0,4.67,0,2,64.29,0
544,,Ludwig Augustinsson,0,13.5,0,1.25,70.37,20
545,,John Nwankwo,0,30.21,0,2.71,83.92,58.33
546,,Awer Mabil,0,8.8,0,2.6,72.73,33.33
547,,Jordan Amavi,0,12.8,0,1.6,50,14.29
548,,Mickaël Malsa,0,4,0,0.6,65,25
549,,Abner Vinícius,0,20.23,0,4.15,76.43,25
550,,Sekou Gassama,0,9,0,3,77.78,0
551,,Fabrizio Angileri,0,12.07,0,2.07,56.91,29.17
552,,Ángel Alarcón,0,1.75,0,0.5,71.43,0
553,,Marko Milovanović,0,4.5,0,0.5,44.44,0
554,,Mamadou Fall,0,10,0,0,70,0
555,,Axel Werner,0,30,0,1,71.67,36
556,,Álvaro Giménez,0,1,0,1,100,0
557,,Gonzalo Verdú,0,21.13,0,0.75,79.59,33.9
558,,Wassim Keddari,0,8.57,0,1.71,95,83.33
559,,Domingos Quina,0.1,13.6,0,3.8,85.29,66.67
560,,Filip Jörgensen,0,23,0,0,86.96,40
561,,Mario Suárez,0,1.5,0,0,66.67,0
562,,Fran Pérez,0,9.29,0,2.86,86.15,66.67
563,,Javier Pastore,0,7,0,4,85.71,100
564,,Pablo Muñoz,0,1,0,1,100,0
565,,Santiago Arzamendia,0,15.25,0,2.25,68.31,29.17
566,,Pape Cheikh,0,9.5,0,0.5,73.68,0
567,,Houboulang Mendes,0.07,15.07,0.07,2.29,72.04,29.41
568,,Lamine Yamal,0,8,0,6,100,100
569,,Antonio Gomis,0,3,0,0,0,0
570,,Alejandro Alfaro,0,1,0,0,100,0
571,,Iñaki Peña,0,11,0,0,90.91,50
572,,Mario Hernández,0,10.33,0,2.67,80.65,33.33
573,,Diego Hormigo,0,10,0,0,60,0
574,,Joan García,0,26,0,0,84.62,42.86
575,,Diego López,0,12,0,0,70.83,14.29
576,,Jorge Herrando,0,5,0,0,60,0
577,,Chadi Riad,0,1,0,0,100,0
578,,Pedro Ortiz,0,1,0,0,100,0
579,,Esteban Saveljich,0,0,0,0,0,0
580,,Diego Mendez,0,2,0,0,50,0
581,,Ruben Quintanilla,0,2,0,0,100,100
582,,Álex Revuelta,0,0,0,0,0,0
